Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-05-05 08:33:00,2005-05-05 13:39:00,306.0,21.33117263843648,23.08527687296417
Off,2005-05-05 13:39:00,2005-05-05 14:09:00,30.0,23.68,23.788709677419355
On,2005-05-05 14:09:00,2005-05-05 14:12:00,3.0,25.587500000000002,24.165
Off,2005-05-05 14:12:00,2005-05-05 14:20:00,8.0,23.86,24.54111111111111
On,2005-05-05 14:20:00,2005-05-05 14:28:00,8.0,29.297777777777778,24.20888888888889
Off,2005-05-05 14:28:00,2005-05-05 14:46:00,18.0,23.68,22.818421052631574
On,2005-05-05 14:46:00,2005-05-05 15:21:00,35.0,27.48138888888889,23.07972222222222
Off,2005-05-05 15:21:00,2005-05-05 15:33:00,12.0,23.33,22.970000000000002
On,2005-05-05 15:33:00,2005-05-05 16:00:00,27.0,30.095000000000002,22.6175
Off,2005-05-05 16:00:00,2005-05-05 16:15:00,15.0,24.21,22.767500000000002
On,2005-05-05 16:15:00,2005-05-05 16:47:00,32.0,30.70151515151515,23.088787878787876
Off,2005-05-05 16:47:00,2005-05-05 17:15:00,28.0,21.95,22.48793103448276
On,2005-05-05 17:15:00,2005-05-05 17:32:00,17.0,25.904444444444444,22.412777777777777
Off,2005-05-05 17:32:00,2005-05-05 17:46:00,14.0,23.68,22.695999999999994
On,2005-05-05 17:46:00,2005-05-05 17:55:00,9.0,29.280999999999995,22.532000000000004
Off,2005-05-05 17:55:00,2005-05-05 18:01:00,6.0,25.09,22.53714285714286
On,2005-05-05 18:01:00,2005-05-05 18:06:00,5.0,26.611666666666665,22.460000000000004
Off,2005-05-05 18:06:00,2005-05-05 18:33:00,27.0,21.6,22.118571428571432
On,2005-05-05 18:33:00,2005-05-05 18:43:00,10.0,23.89181818181818,21.39727272727272
Off,2005-05-05 18:43:00,2005-05-05 18:52:00,9.0,21.77,20.893
On,2005-05-05 18:52:00,2005-05-05 19:08:00,16.0,25.328235294117647,20.47
Off,2005-05-05 19:08:00,2005-05-05 19:19:00,11.0,21.77,20.088333333333328
On,2005-05-05 19:19:00,2005-05-05 19:37:00,18.0,24.64842105263158,19.487368421052633
Off,2005-05-05 19:37:00,2005-05-05 19:56:00,19.0,20.23,19.413999999999998
On,2005-05-05 19:56:00,2005-05-05 20:06:00,10.0,23.070909090909094,19.101818181818178
Off,2005-05-05 20:06:00,2005-05-05 20:30:00,24.0,19.89,19.2644
Nocturnal,2005-05-05 20:30:00,2005-05-06 06:28:00,598.0,25.809298831385643,18.461302170283805
Off,2005-05-06 06:28:00,2005-05-06 07:08:00,40.0,17.01,16.72390243902439
On,2005-05-06 07:08:00,2005-05-06 07:31:00,23.0,21.199583333333337,16.910833333333333
Off,2005-05-06 07:31:00,2005-05-06 08:18:00,47.0,17.01,17.579583333333336
On,2005-05-06 08:18:00,2005-05-06 08:44:00,26.0,22.270740740740738,17.94444444444445
Off,2005-05-06 08:44:00,2005-05-06 08:52:00,8.0,20.4,17.925555555555558
On,2005-05-06 08:52:00,2005-05-06 09:20:00,28.0,24.638965517241374,18.272068965517242
Off,2005-05-06 09:20:00,2005-05-06 09:28:00,8.0,22.98,18.945555555555554
On,2005-05-06 09:28:00,2005-05-06 10:03:00,35.0,25.902222222222225,18.34583333333334
Off,2005-05-06 10:03:00,2005-05-06 10:57:00,54.0,19.04,18.31054545454545
On,2005-05-06 10:57:00,2005-05-06 11:18:00,21.0,24.417272727272724,18.33681818181818
